subject_id,item_name,rating
15,butterfinger,74
15,butterfingerbites,252
15,cheetospuffs,98
15,chexmixtraditional,243
15,crunch,87
15,famousamos,530
15,grandmaspeanutbuttercookies,173
15,hostesschocolatedonuts,237
15,hostesspowdereddonut,265
15,juniorcaramels,71
15,keeblerfudgestripes,84
15,keeblerrainbowcookies,243
15,kitkatwhitechocolate,253
15,milanocookies,598
15,milkduds,171
15,milkyway,340
15,milkywaycaramel,271
15,oreosgolden,433
15,reesesbigcup,190
15,reesespieces,77
15,ritzbitspeanutbutter,339
15,rufflescheddarsourcreamchips,78
15,skittles,86
15,snickerspeanutbutter,85
15,toblerone,87
16,airheadsblueraspberry,173
16,airheadsgreenapple,177
16,airheadsstrawberry,165
16,airheadswatermelon,76
16,cheesepeanutbuttercrackers,158
16,cheetoscrunchy,434
16,cheetospuffs,166
16,chexmixcheddar,78
16,chipsahoy,175
16,doritospicychili,520
16,doritosnachocheese,504
16,dovemilkpeanutbutterbites,75
16,famousamos,516
16,fritos,342
16,funyuns,260
16,gobstoppers,84
16,grandmaschocolatechipcookies,436
16,grandmaspeanutbuttercookies,344
16,hostesschocolatedonuts,698
16,hostesspowdereddonut,698
16,keeblerfudgestripes,700
16,kettlechipsjalapeno,524
16,kettlechipssaltvinegar,862
16,kitkat,344
16,laffytaffysourapple,359
16,laysclassic,780
16,layssweetsouthernheatbarbecue,603
16,lifesaversgummies,81
16,mmsmilkchocolate,437
16,mmspeanuts,255
16,milanocookies,92
16,nerdsrope,273
16,nerdsstrawberrygrape,787
16,pringlescheddar,608
16,pringlesoriginal,340
16,reesesbigcup,862
16,reesespeanutbuttercup,869
16,reesespieces,608
16,ritzbitspeanutbutter,693
16,roldgoldtinytwistpretzels,85
16,rufflescheddarsourcreamchips,519
16,skittlewildberry,79
16,skittles,248
16,snickerspeanutbutter,332
16,sourpatchkids,265
16,starburst,266
16,sunchipscheddar,869
16,sunchipsfrenchonion,614
16,sunchipsgardensalsa,258
16,swedishfish,172
16,swedishfishassorted,68
16,twixpeanutbutter,255
17,airheadsgreenapple,262
17,cheesepeanutbuttercrackers,169
17,cheetoscrunchy,168
17,cheetospuffs,85
17,chexmixcheddar,255
17,chexmixtraditional,85
17,doritosnachocheese,353
17,famousamos,435
17,fritos,257
17,fritosbbq,347
17,grandmaschocolatechipcookies,169
