subject_id,item_index,day,wtp_usd
101,2,1,2.0
101,2,2,2.0
101,2,3,2.0
101,5,3,1.0
101,9,1,2.0
101,9,2,2.0
101,9,3,2.0
101,12,2,3.0
101,21,1,1.0
101,21,2,1.0
101,21,3,0.0
101,29,3,3.0
101,34,2,0.0
101,41,2,1.0
101,42,3,2.0
101,43,1,4.0
101,43,2,4.0
101,43,3,5.0
101,44,2,3.0
101,46,1,2.0
101,50,1,4.0
101,50,2,4.0
101,50,3,4.0
101,53,1,2.0
101,60,2,3.0
101,61,3,4.0
101,62,1,3.0
101,65,1,1.0
101,69,3,9.0
101,70,1,3.0
101,103,2,2.0
101,104,2,1.0
101,106,3,5.0
101,108,3,0.0
101,110,1,2.0
101,112,1,1.0
101,113,1,2.0
101,117,3,1.0
101,121,1,2.0
101,121,2,0.0
101,121,3,0.0
101,123,2,2.0
101,124,3,1.0
101,125,1,2.0
101,125,2,2.0
101,125,3,3.0
101,129,2,3.0
101,130,1,1.0
101,130,2,1.0
101,130,3,0.0
101,131,3,5.0
101,133,1,3.0
101,134,1,2.0
101,135,2,1.0
101,136,1,2.0
101,136,2,1.0
101,136,3,1.0
101,138,1,3.0
101,138,2,5.0
101,138,3,3.0
102,1,1,2.0
102,1,2,1.0
102,1,3,1.0
102,12,3,6.0
102,13,3,3.0
102,18,2,3.0
102,20,3,1.0
102,24,1,0.0
102,25,1,2.0
102,25,2,2.0
102,25,3,2.0
102,32,1,4.0
102,34,3,2.0
102,40,1,10.0
102,41,3,5.0
102,46,2,5.0
102,48,1,6.0
102,52,2,5.0
102,54,2,7.0
102,62,1,12.0
102,62,2,12.0
102,62,3,12.0
102,65,1,10.0
102,66,1,12.0
102,66,2,12.0
102,66,3,19.0
102,69,2,10.0
102,70,1,6.0
102,70,2,7.0
102,70,3,8.0
102,104,1,10.0
102,106,1,12.0
102,106,2,9.0
102,106,3,8.0
102,107,1,15.0
102,107,2,12.0
102,107,3,12.0
102,108,1,10.0
102,108,2,10.0
102,108,3,10.0
102,110,1,4.0
102,112,2,3.0
102,113,1,12.0
102,113,2,10.0
102,113,3,10.0
102,115,3,7.0
102,116,3,10.0
102,117,3,9.0
102,120,3,7.0
102,122,1,10.0
102,122,2,10.0
102,122,3,12.0
102,124,2,5.0
102,127,1,7.0
102,131,2,9.0
102,132,1,10.0
102,133,2,10.0
102,135,1,5.0
102,136,2,6.0
102,140,3,8.0
103,4,2,1.0
103,8,3,1.0
103,11,1,3.0
103,15,1,1.0
103,16,1,5.0
103,16,2,6.0
103,16,3,6.0
103,26,1,2.0
103,26,2,2.0
103,26,3,2.0
103,30,1,3.0
103,30,2,2.0
103,30,3,2.0
103,36,2,2.0
103,47,1,4.0
103,50,3,5.0
103,56,2,1.0
103,57,3,6.0
103,58,1,5.0
103,58,2,6.0
103,58,3,6.0
103,59,2,4.0
103,60,3,3.0
103,61,3,3.0
103,62,1,4.0
103,62,2,3.0
103,62,3,3.0
103,63,1,5.0
103,66,1,1.0
103,70,2,2.0
103,102,1,3.0
103,103,1,3.0
103,104,3,4.0
103,107,3,4.0
103,111,1,3.0
103,111,2,2.0
103,111,3,2.0
103,112,1,2.0
103,112,2,2.0
103,112,3,2.0
103,113,3,3.0
103,117,1,2.0
103,121,2,2.0
103,122,1,3.0
103,124,2,2.0
103,126,2,3.0
103,128,1,3.0
103,128,2,3.0
103,128,3,3.0
103,129,3,3.0
103,130,1,4.0
103,131,2,2.0
103,134,1,3.0
103,134,2,3.0
103,134,3,3.0
103,135,1,8.0
103,135,2,7.0
103,135,3,5.0
103,137,2,5.0
103,140,3,4.0
104,1,3,0.0
104,4,1,1.0
104,4,2,2.0
104,4,3,2.0
104,5,3,2.0
104,6,1,2.0
104,14,2,0.0
104,17,1,3.0
104,17,2,0.0
104,17,3,0.0
104,27,1,3.0
104,35,1,2.0
104,39,3,0.0
104,42,2,5.0
104,43,3,0.0
104,44,2,0.0
104,46,1,0.0
104,46,2,0.0
104,46,3,0.0
104,57,1,5.0
104,57,2,6.0
104,57,3,5.0
104,60,1,4.0
104,60,2,6.0
104,60,3,6.0
104,63,3,5.0
104,64,2,4.0
104,68,2,8.0
104,69,1,3.0
104,70,1,4.0
104,103,1,0.0
104,103,2,0.0
104,103,3,0.0
104,104,2,0.0
104,105,3,0.0
104,106,1,0.0
104,106,2,0.0
104,106,3,0.0
104,107,3,0.0
104,108,1,0.0
104,110,3,0.0
104,112,3,0.0
104,113,2,0.0
104,115,1,0.0
104,115,2,0.0
104,115,3,0.0
104,116,2,0.0
104,119,1,0.0
104,123,1,0.0
104,123,2,0.0
104,123,3,0.0
104,128,3,0.0
104,129,1,0.0
104,129,2,4.0
104,129,3,7.0
104,131,1,0.0
104,133,2,0.0
104,135,2,0.0
104,136,1,3.0
104,137,1,0.0
105,1,1,1.0
105,3,3,1.0
105,7,1,2.0
105,7,2,2.0
105,7,3,2.0
105,12,1,7.0
105,12,2,4.0
105,12,3,4.0
105,13,3,6.0
105,22,2,2.0
105,31,1,3.0
105,31,2,2.0
105,31,3,2.0
105,34,2,2.0
105,36,3,4.0
105,40,1,4.0
105,44,1,5.0
105,47,3,4.0
105,48,1,6.0
105,48,2,4.0
105,48,3,4.0
105,49,2,4.0
105,55,1,9.0
105,63,1,7.0
105,65,1,9.0
105,65,2,4.0
105,65,3,4.0
105,66,2,4.0
105,69,3,5.0
105,70,2,4.0
105,101,1,6.0
105,104,1,1.0
105,107,2,0.0
105,108,1,7.0
105,108,2,0.0
105,108,3,0.0
105,112,1,6.0
105,112,2,0.0
105,112,3,0.0
105,113,3,0.0
105,114,3,0.0
105,115,1,9.0
105,115,2,0.0
105,115,3,0.0
105,117,3,0.0
105,118,2,0.0
105,120,1,9.0
105,121,1,4.0
105,124,1,4.0
105,124,2,0.0
105,124,3,0.0
105,125,2,0.0
105,126,3,0.0
105,128,2,0.0
105,129,1,8.0
105,129,2,0.0
105,129,3,0.0
105,130,2,9.0
105,134,3,4.0
105,140,1,4.0
106,1,1,16.0
106,4,1,15.0
106,4,2,4.0
106,4,3,1.0
106,6,2,2.0
106,7,2,5.0
106,10,1,13.0
106,16,1,0.0
106,16,2,0.0
106,16,3,0.0
106,17,2,0.0
106,18,1,20.0
106,18,2,0.0
106,18,3,1.0
106,19,3,1.0
106,20,2,0.0
106,22,2,4.0
106,28,3,5.0
106,48,3,1.0
106,51,3,3.0
106,55,1,17.0
106,57,1,14.0
106,57,2,4.0
106,57,3,2.0
106,58,1,19.0
106,60,1,20.0
106,61,3,1.0
106,62,1,1.0
106,62,2,4.0
106,62,3,4.0
106,101,2,11.0
106,107,1,11.0
106,108,1,12.0
106,108,2,0.0
106,108,3,0.0
106,109,2,15.0
106,110,1,11.0
106,111,1,11.0
106,111,2,1.0
106,111,3,0.0
106,112,2,1.0
106,114,1,12.0
106,114,2,3.0
106,114,3,1.0
106,115,1,8.0
106,117,1,2.0
106,117,2,4.0
106,117,3,0.0
106,118,1,5.0
106,118,2,3.0
106,118,3,2.0
106,119,3,2.0
106,122,1,20.0
106,123,3,0.0
106,126,3,3.0
106,132,3,2.0
106,136,2,1.0
106,137,3,2.0
106,138,1,9.0
106,140,2,1.0
107,2,2,2.0
107,9,1,2.0
107,9,2,2.0
107,9,3,2.0
107,10,3,2.0
107,11,1,4.0
107,11,2,5.0
107,11,3,5.0
